,Código do Município,Município,Estado,Ano de Referência,Prestador,AG001 - População total atendida com abastecimento de água,AG002 - Quantidade de ligações ativas de água,AG003 - Quantidade de economias ativas de água,AG005 - Extensão da rede de água,AG006 - Volume de água produzido,AG007 - Volume de água tratada em ETAs,AG011 - Volume de água faturado,ES002 - Quantidade de ligações ativas de esgotos,ES003 - Quantidade de economias ativas de esgotos,ES004 - Extensão da rede de esgotos,ES005 - Volume de esgotos coletado,ES006 - Volume de esgotos tratado,ES007 - Volume de esgotos faturado,ES009 - Quantidade de ligações totais de esgotos,ES026 - População urbana atendida com esgotamento sanitário,FN006 - Arrecadação total,FN010 - Despesa com pessoal próprio,FN011 - Despesa com produtos químicos,FN013 - Despesa com energia elétrica,FN014 - Despesa com serviços de terceiros,FN015 - Despesas de Exploração (DEX),FN017 - Despesas totais com os serviços (DTS),FN020 - Despesa com água importada (bruta ou tratada),FN021 - Despesas fiscais ou tributárias computadas na DEX,FN039 - Despesa com esgoto exportado
135,270140,Campo Alegre,AL,2010,Prefeitura Municipal de Campo Alegre,37364.0,12000.0,12000.0,180.0,2692.8,1346.0,0.0,4200.0,4200.0,60.0,525.0,0.0,0.0,4200.0,5000.0,0.0,180000.0,40000.0,387000.0,19620.0,876000.0,876000.0,0.0,30000.0,0.0
136,270140,Campo Alegre,AL,2009,Prefeitura Municipal de Campo Alegre,47209.0,10000.0,10000.0,150.0,2244.0,1122.0,0.0,4000.0,4000.0,60.0,500.0,0.0,0.0,4000.0,5000.0,0.0,180000.0,36000.0,360000.0,0.0,876000.0,876000.0,0.0,300000.0,0.0
142,270230,Coruripe,AL,2019,Prefeitura Municipal de Coruripe,56570.0,15586.0,15586.0,252.0,7080.1,0.0,7080.1,3333.0,0.0,25.13,578.89,578.89,0.0,3394.0,13736.0,3579848.82,668640.45,20100.22,1699897.93,2320153.69,5510347.13,6510347.13,37387.0,127252.25,0.0
143,270230,Coruripe,AL,2018,Prefeitura Municipal de Coruripe,56562.0,14708.0,14708.0,245.0,6092.0,0.0,6092.0,2347.0,0.0,17.5,407.64,407.64,0.0,2408.0,10778.0,3125374.56,359484.5,19018.75,839107.27,1422730.4,3480100.26,3520905.23,27530.22,116072.51,0.0
144,270230,Coruripe,AL,2017,Prefeitura Municipal de Coruripe,57498.0,11136.0,11136.0,225.0,5081.0,0.0,5081.0,1852.0,0.0,13.3,323.84,323.84,0.0,1913.0,9410.0,2970873.17,354346.4,12342.16,961962.95,2008910.22,3479884.36,3480857.58,27322.63,115000.0,0.0
145,270230,Coruripe,AL,2016,Prefeitura Municipal de Coruripe,56701.0,10615.0,13987.0,218.0,5071.0,0.0,5071.0,1842.0,0.0,13.3,322.1,322.1,0.0,1899.0,8313.0,2977390.53,901872.17,11508.75,1152552.0,639559.96,2839729.24,2840685.47,27252.3,106984.06,0.0
146,270230,Coruripe,AL,2015,Prefeitura Municipal de Coruripe,56631.0,10586.0,13586.0,213.0,5056.0,0.0,2899.0,1827.0,0.0,13.3,319.2,319.2,0.0,1887.0,8231.0,2498264.74,896845.5,10450.0,1030977.4,235104.0,2380567.76,2385817.74,27190.86,180000.0,0.0
147,270230,Coruripe,AL,2014,Prefeitura Municipal de Coruripe,56153.0,10461.0,13230.0,209.0,5050.0,0.0,2895.0,1792.0,0.0,13.0,312.94,312.94,0.0,1850.0,7897.0,2056063.33,926400.24,18190.5,624960.0,451164.27,2352010.35,2355010.35,19319.97,211975.37,0.0
148,270230,Coruripe,AL,2013,Prefeitura Municipal de Coruripe,50609.0,10197.0,12720.0,205.0,4580.0,0.0,2826.0,1757.0,0.0,13.0,306.8,306.8,0.0,1813.0,6975.0,1533312.3,459680.38,17890.0,418626.08,422907.01,1634769.37,1637769.37,17890.0,111137.9,0.0
149,270230,Coruripe,AL,2012,Prefeitura Municipal de Coruripe,50547.0,9360.0,12720.0,185.0,4432.0,0.0,2798.0,1706.0,1772.0,13.0,298.0,298.0,0.0,1761.0,6829.0,1561193.3,361377.6,15750.0,165000.0,299984.16,988706.28,990706.28,0.0,26951.64,0.0
150,270230,Coruripe,AL,2011,Prefeitura Municipal de Coruripe,50080.0,9268.0,11494.0,150.0,3000.0,0.0,2700.0,1657.0,1720.0,13.0,290.0,290.0,0.0,1709.0,6630.0,1171350.76,300000.0,16000.0,160000.0,180000.0,735000.0,740000.0,0.0,24000.0,0.0
